Type	INode   	Name                	Size(bytes)	Block	B-Size	Depth	Offset	Mode 	UID  	GID  	Path
dir	11141228	e0                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/e0	
file	11141302	55969498261764133cffc9204dab49f3161cd2	168     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/e0/55969498261764133cffc9204dab49f3161cd2	
file	11141235	8bc53be5c40b8def47e1b85740fc0ea650d66b	3527    	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/e0/8bc53be5c40b8def47e1b85740fc0ea650d66b	
dir	11012116	cc                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/cc	
file	11012739	4207386fc1f6804b7012c95e5fffef3bfd2b24	443     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/cc/4207386fc1f6804b7012c95e5fffef3bfd2b24	
dir	11141271	64                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/64	
file	11141272	5807d0cf0895a1788b43732a03d8d87717050f	161     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/64/5807d0cf0895a1788b43732a03d8d87717050f	
dir	11141250	51                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/51	
file	11141251	151739dbf60afa7853d0fd7d23662ae4a7b349	169     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/51/151739dbf60afa7853d0fd7d23662ae4a7b349	
dir	11141131	61                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/61	
file	11141132	4aecde1327eb31cb141696283f4d61963eb03c	12239   	24   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/61/4aecde1327eb31cb141696283f4d61963eb03c	
dir	11141141	68                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/68	
file	11141142	4d220e85f179042b610c7e294aff52968588f5	138     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/68/4d220e85f179042b610c7e294aff52968588f5	
dir	11141176	5e                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/5e	
file	11141177	24f6bd6bccc970568e5034131579c45feed821	171     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/5e/24f6bd6bccc970568e5034131579c45feed821	
dir	11141139	4f                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/4f	
file	11141140	c6dce47b47b164f017875b16627569047b57ae	839163  	1640 	4096 	4   	18  	33060	1000 	1000 	./.git/objects/4f/c6dce47b47b164f017875b16627569047b57ae	
dir	11141246	3d                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/3d	
file	11141247	09409e6b0e3833ebe347b4d48d9ba79460d64c	4173    	16   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/3d/09409e6b0e3833ebe347b4d48d9ba79460d64c	
dir	11141295	66                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/66	
file	11141296	e505253f25678c0d5a6c2e5f8e74878f7fc5a8	161     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/66/e505253f25678c0d5a6c2e5f8e74878f7fc5a8	
dir	11141180	e4                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/e4	
file	11141301	79e54a0dd206ebc52737ddf4b3db6ef0e53a04	161     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/e4/79e54a0dd206ebc52737ddf4b3db6ef0e53a04	
file	11141181	08b5bcd405e492fd98a293c1b37e575ec27388	414     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/e4/08b5bcd405e492fd98a293c1b37e575ec27388	
dir	11141232	a0                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/a0	
file	11141233	647a1940d39f4e2147ecbbca9d3840425a4e9f	185     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/a0/647a1940d39f4e2147ecbbca9d3840425a4e9f	
dir	11014121	40                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/40	
file	11014122	11152b72d27770bad28120152944745221becf	418     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/40/11152b72d27770bad28120152944745221becf	
dir	11141236	78                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/78	
file	11141237	93fa2df3a44cd6ad8af10cdc9e94d3d42c562b	414     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/78/93fa2df3a44cd6ad8af10cdc9e94d3d42c562b	
dir	11141260	90                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/90	
file	11141288	84e729244377c4a4cd7447262fa3b9330b50f1	23861   	48   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/90/84e729244377c4a4cd7447262fa3b9330b50f1	
file	11141456	cf59679722e90b771d196df0e2b7361004e6c4	168     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/90/cf59679722e90b771d196df0e2b7361004e6c4	
dir	11141184	bb                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/bb	
file	11141201	33fe94e8e6dbe72435b647eaa7f2360c7b052b	913     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/bb/33fe94e8e6dbe72435b647eaa7f2360c7b052b	
